date,TICKER,Cleaned_Price,Cleaned_Return
2014-10-08,MSFT,46.78,0.027454426
2014-10-09,MSFT,45.85,-0.019880291
2014-10-10,MSFT,44.03,-0.039694656
2014-10-13,MSFT,43.65,-0.008630479
2014-10-14,MSFT,43.73,0.001832761
2014-10-15,MSFT,43.22,-0.011662474
2014-10-16,MSFT,42.74,-0.011105969
2014-10-17,MSFT,43.63,0.020823584
2014-10-20,MSFT,44.08,0.010314004
2014-10-21,MSFT,44.88,0.01814882
2014-10-22,MSFT,44.38,-0.01114082
2014-10-23,MSFT,45.02,0.01442091
2014-10-24,MSFT,46.13,0.024655709
2014-10-27,MSFT,45.91,-0.004769131
2014-10-28,MSFT,46.49,0.012633413
2014-10-29,MSFT,46.62,0.0027963
2014-10-30,MSFT,46.05,-0.012226512
2014-10-31,MSFT,46.95,0.019543974
2014-11-03,MSFT,47.44,0.010436635
2014-11-04,MSFT,47.57,0.002740304
2014-11-05,MSFT,47.86,0.006096279
2014-11-06,MSFT,48.7,0.017551191
2014-11-07,MSFT,48.68,-0.000410678
2014-11-10,MSFT,48.89,0.004313887
2014-11-11,MSFT,48.87,-0.000409082
2014-11-12,MSFT,48.78,-0.001841621
2014-11-13,MSFT,49.61,0.01701517
2014-11-14,MSFT,49.58,-0.000604717
2014-11-17,MSFT,49.46,-0.002420331
2014-11-18,MSFT,48.74,-0.014557218
2014-11-19,MSFT,48.22,-0.010668855
2014-11-20,MSFT,48.7,0.009954376
2014-11-21,MSFT,47.98,-0.014784394
2014-11-24,MSFT,47.59,-0.008128387
2014-11-25,MSFT,47.47,-0.002521538
2014-11-26,MSFT,47.75,0.005898462
2014-11-28,MSFT,47.81,0.001256545
2014-12-01,MSFT,48.62,0.016942062
2014-12-02,MSFT,48.46,-0.003290827
2014-12-03,MSFT,48.08,-0.007841519
2014-12-04,MSFT,48.84,0.015806988
2014-12-05,MSFT,48.42,-0.008599509
2014-12-08,MSFT,47.695,-0.014973152
2014-12-09,MSFT,47.59,-0.002201489
2014-12-10,MSFT,46.9,-0.014498844
2014-12-11,MSFT,47.17,0.00575693
2014-12-12,MSFT,46.95,-0.004663981
2014-12-15,MSFT,46.67,-0.005963791
2014-12-16,MSFT,45.16,-0.032354832
2014-12-17,MSFT,45.74,0.012843224
2014-12-18,MSFT,47.52,0.03891561
2014-12-19,MSFT,47.66,0.002946128
2014-12-22,MSFT,47.98,0.006714226
2014-12-23,MSFT,48.45,0.009795748
2014-12-24,MSFT,48.14,-0.006398349
2014-12-26,MSFT,47.88,-0.005400914
2014-12-29,MSFT,47.45,-0.008980785
2014-12-30,MSFT,47.02,-0.009062171
2014-12-31,MSFT,46.45,-0.012122501
2015-01-02,MSFT,46.76,0.006673843
2015-01-05,MSFT,46.325,-0.009302823
2015-01-06,MSFT,45.65,-0.014570966
2015-01-07,MSFT,46.23,0.012705367
2015-01-08,MSFT,47.59,0.029418127
2015-01-09,MSFT,47.19,-0.008405127
2015-01-12,MSFT,46.6,-0.012502649
2015-01-13,MSFT,46.355,-0.005257511
2015-01-14,MSFT,45.955,-0.008629058
2015-01-15,MSFT,45.48,-0.010336198
2015-01-16,MSFT,46.24,0.016710642
2015-01-20,MSFT,46.39,0.003243945
2015-01-21,MSFT,45.92,-0.010131494
2015-01-22,MSFT,47.13,0.026350174
2015-01-23,MSFT,47.18,0.001060895
2015-01-26,MSFT,47.01,-0.003603222
2015-01-27,MSFT,42.66,-0.092533504
2015-01-28,MSFT,41.19,-0.034458509
2015-01-29,MSFT,42.01,0.019907745
2015-01-30,MSFT,40.4,-0.038324209
2015-02-02,MSFT,41.28,0.021782178
2015-02-03,MSFT,41.6,0.007751938
2015-02-04,MSFT,41.84,0.005769231
2015-02-05,MSFT,42.45,0.01457935
2015-02-06,MSFT,42.41,-0.000942285
2015-02-09,MSFT,42.36,-0.001178967
2015-02-10,MSFT,42.6,0.005665722
2015-02-11,MSFT,42.38,-0.005164319
2015-02-12,MSFT,43.09,0.016753185
2015-02-13,MSFT,43.87,0.018101648
2015-02-17,MSFT,43.58,-0.00661044
2015-02-18,MSFT,43.53,-0.001147315
2015-02-19,MSFT,43.5,-0.00068918
2015-02-20,MSFT,43.855,0.00816092
2015-02-23,MSFT,44.15,0.006726713
2015-02-24,MSFT,44.09,-0.001359003
2015-02-25,MSFT,43.99,-0.002268088
2015-02-26,MSFT,44.055,0.001477609
2015-02-27,MSFT,43.85,-0.004653274
2015-03-02,MSFT,43.88,0.000684151
2015-03-03,MSFT,43.28,-0.013673655
2015-03-04,MSFT,43.055,-0.005198706
2015-03-05,MSFT,43.11,0.001277436
2015-03-06,MSFT,42.36,-0.017397356
2015-03-09,MSFT,42.85,0.011567517
2015-03-10,MSFT,42.03,-0.019136523
2015-03-11,MSFT,41.98,-0.001189626
2015-03-12,MSFT,41.02,-0.022868032
2015-03-13,MSFT,41.38,0.008776207
2015-03-16,MSFT,41.56,0.004349928
2015-03-17,MSFT,41.695,0.003248316
2015-03-18,MSFT,42.5,0.019306871
2015-03-19,MSFT,42.285,-0.005058824
2015-03-20,MSFT,42.88,0.014071184
2015-03-23,MSFT,42.855,-0.000583022
